System,Title,FW,LTD,Publisher,Release Date
360,Dead Rising [All Versions],22.24,96.993,Capcom,28/09/2006
360,Dead Rising [Platinum Collection],3.28,26.815,Capcom,14/06/2007
PS3,Dead Rising 2,89.326,144.822,Capcom,30/09/2010
360,Dead Rising 2,40.963,55.591,Capcom,30/09/2010
PS4,Dead Rising 2,2.777,2.777,Capcom,29/09/2016
PS3,Dead Rising 2: Off the Record,18.1,44.072,Capcom,13/10/2011
360,Dead Rising 2: Off the Record,6.087,10.106,Capcom,13/10/2011
PS4,Dead Rising 2: Off the Record [PlayStation Store],,42.892,Capcom,13/09/2016
XB1,Dead Rising 3,7.33,12.828,Microsoft,4/9/2014
PS4,Dead Rising 4: Frank's Big Package,13.759,13.759,Capcom,7/12/2017
WII,Dead Rising: Chop Till You Drop,9.2,20.653,Capcom,19/02/2009
WII,Dead Space: Extraction,2.6,6.584,Electronic Arts,1/10/2009
XBX,Dead to Rights,5.945,11.843,Namco,28/11/2002
PS3,Dead to Rights: Retribution,,10.714,Bandai Namco,8/7/2010
360,Dead to Rights: Retribution,,3.854,Bandai Namco,8/7/2010
GB,DeadHeat Fighters: Samurai Shodown III,8.962,8.962,Takara,23/08/1996
GB,DeadHeat Fighters: The King of Fighters '95,,23.967,Takara,26/04/1996
GB,DeadHeat Fighters: The King of Fighters '96,,22.639,Takara,8/8/1997
PS1,Deadheat Road,5.332,5.332,Nichibutsu,12/4/1996
PS2,Dear Boys: Fast Break!,9.721,9.721,Konami,18/09/2003
PSP,Dear Drops Distortion,3.755,7.116,CyberFront,10/3/2011
NDS,Dear Girl: Stories Hibiki - Hibiki Tokkun Daisakusen!,,18.829,ASCII Media Works,17/12/2009
PS2,Dear My Sun!! Musk Ikusei Capriccio,4.74,4.74,D3 Publisher,6/9/2007
PS2,DearS,5.512,5.512,Media Works,24/06/2004
PS2,Death Connection,,4.797,Idea Factory,17/12/2009
PSP,Death Connection Portable,,6.939,Idea Factory,3/2/2011
PS4,Death end re;Quest,16.134,26.235,Compile Heart,12/4/2018
NDS,Death Note: Kira Game,46.956,93.838,Konami,15/02/2007
NDS,Death Note: The Successor to L,7.29,26.346,Konami,12/7/2007
360,DeathSmiles,20.302,27.63,Cave,23/04/2009
360,DeathSmiles [All Versions],20.302,33.77,Cave,23/04/2009
360,DeathSmiles [Platinum Collection],1.632,6.14,Cave,8/4/2010
360,DeathSmiles II X: Hell's Christmas,17.61,25.296,Cave,27/05/2010
PS1,Debut 21,6.385,6.385,NEC,10/9/1998
WII,Deca Sports,66.79,271.525,Hudson,19/03/2008
WII,Deca Sports [All Versions],66.79,296.057,Hudson,19/03/2008
WII,Deca Sports [Hudson the Best],1,24.532,Hudson,25/02/2010
WII,Deca Sports 2,8.594,109.908,Hudson,16/04/2009
WII,Deca Sports 2 [All Versions],8.594,121.724,Hudson,16/04/2009
WII,Deca Sports 2 [Hudson the Best],,11.816,Hudson,8/7/2010
WII,Deca Sports 3,,20.257,Hudson,16/09/2010
3DS,Deca Sports 3D,,26.538,Hudson,28/04/2011
3DS,Deca Sports 3D [All Versions],,29.255,Hudson,28/04/2011
3DS,Deca Sports 3D [Gold Selection],,2.717,Hudson,26/07/2012
NDS,Deca Sports DS,,13.716,Hudson,17/12/2009
SAT,Decathlete,115.307,274.201,SEGA,12/7/1996
PS1,Deception III: Dark Delusion,39.958,59.151,Tecmo,9/12/1999
PSV,Deception IV: Blood Ties,18.032,40.396,Koei Tecmo,27/02/2014
PS3,Deception IV: Blood Ties,24.315,36.185,Koei Tecmo,27/02/2014
PSV,Deception IV: The Nightmare Princess,5.494,9.626,Koei Tecmo,26/03/2015
PSV,Deemo: Last Recital,,15.898,Rayark Inc.,24/06/2015
SAT,Deep Fear,38.754,54.068,SEGA,16/07/1998
PS1,Deep Freeze,26.925,50.537,Sammy,14/01/1999
PS2,Def Jam: Fight For New York,6.83,22.807,Electronic Arts,24/02/2005
PS3,Def Jam: Icon,2.356,2.356,Electronic Arts,21/06/2007
360,Def Jam: Icon,551,1.844,Electronic Arts,21/06/2007
GB,Dejiko no Mahjong Party [Game Boy Color],4.663,4.663,King Records,8/12/2000
PSV,Dekamori Senran Kagura,7.686,14.318,Marvelous,27/11/2014
PS2,DekaVoice,1.578,1.578,SCE,13/02/2003
NDS,Deltora Quest: 7 Gems,3.579,3.579,Bandai Namco,20/09/2007
NDS,Dementium: The Ward,5,5,Interchannel-Holon,26/06/2008
PS2,Demento,14.604,32.799,Capcom,21/04/2005
PS2,Demento [All Versions],14.604,34.262,Capcom,21/04/2005
PS2,Demento [CapKore],1.463,1.463,Capcom,14/12/2006
PS2,Demon Chaos,54.14,84.408,Genki,24/11/2005
PSV,Demon Gaze,25.793,60.348,Kadokawa Games,24/01/2013
PSV,Demon Gaze 2,16.874,24.003,Kadokawa Games,29/09/2016
PSV,Demon Gaze: Global Edition,2.059,2.059,Kadokawa Games,3/7/2014
PS3,Demon's Souls,36.794,168.816,SCE,5/2/2009
PS3,Demon's Souls [All Versions],36.794,314.449,SCE,5/2/2009
PS3,Demon's Souls [PlayStation 3 the Best],15.869,145.633,SCE,25/02/2010
PS3,Dengeki Bunko: Fighting Climax,34.748,43.537,SEGA,13/11/2014
PSV,Dengeki Bunko: Fighting Climax,25.196,32.589,SEGA,13/11/2014
PSV,Dengeki Bunko: Fighting Climax Ignition,9.74,9.74,SEGA,17/12/2015
PS4,Dengeki Bunko: Fighting Climax Ignition,7.112,7.112,SEGA,17/12/2015
NDS,Dengeki Gakuen RPG: Cross of Venus,20.257,30.994,ASCII Media Works,19/03/2009
NDS,Dengeki Gakuen RPG: Cross of Venus Special,,7.169,ASCII Media Works,10/2/2011
NDS,Denjiro Sensei's Mysterious Laboratory,1.3,4.669,Jaleco,17/07/2008
PS1,Denki Groove Jigoku V: SweepStation Version,9.911,9.911,SCE,8/1/1998
NGP,Densetsu no Ogre Battle: Zenobia no Ouji [Neo Geo Pocket Color],9.763,9.763,SNK,22/06/2000
NGC,Densetsu no Quiz Ou Ketteisen,2.346,38.442,Nintendo,8/12/2005
PSP,Densetsu no Yuusha no Densetsu: Legendary Saga,3.5,7.027,Kadokawa Shoten,18/02/2010
PS1,Densha de Go!,272.476,949.947,Taito,18/12/1997
WS,Densha de Go!,12.215,12.215,Taito,4/3/1999
PS1,Densha de Go! 2,176.591,367.484,Taito,18/03/1999
PS2,Densha de Go! 3,30.419,68.443,Taito,15/03/2001
N64,Densha de Go! 64,14.309,14.309,Taito,30/07/1999
SAT,Densha de Go! EX,6.304,6.304,Takara,1/10/1998
PS2,Densha de Go! Final,22.397,41.82,Taito,27/05/2004
PS1,Densha de Go! Nagoya Railroad Chapter,30.326,53.045,Taito,27/01/2000
PSP,Densha de Go! Pocket: Yamanotesen-hen,1.785,1.785,Taito,29/09/2005
PS2,Densha de Go! Professional 2,20.812,42.34,Taito,27/02/2003
PS1,Densha de Go! Professional Shiyou,41.228,98.21,Taito,9/12/1999
WII,Densha de Go! Shinkansen EX: Sanyou Shinkansen-hen,4.515,8.725,Taito,1/3/2007
PS2,Densha de Go! Shinkansen: Sanyou Shinkansen-hen,24.093,41.141,Taito,20/09/2001
NDS,Densha de Go! Special Version: Revived! Showa Yamanote Line,,14.795,Square Enix,22/07/2010
PS2,Densha de Go! Summertime Chapter,10.425,10.425,Taito,25/07/2002
SFC,Der Langrisser,48.786,81.253,NCS,30/06/1995
PS4,Deracine [PlayStation VR],1.99,1.99,From Software,8/11/2018
SFC,Derby Jockey 2,30.16,55.502,Asmik,29/09/1995
PS1,Derby Jockey R,15.863,23.237,Asmik,28/02/1997
PS1,Derby Stallion,920.565,1.737.819,ASCII,17/07/1997
SAT,Derby Stallion,43.68,76.541,ASCII,25/03/1999
PS2,Derby Stallion 04,305.973,615.552,Enterbrain,22/04/2004
N64,Derby Stallion 64,48.493,86.817,Media Factory,10/8/2001
SFC,Derby Stallion 96,377.996,903.2,ASCII,15/03/1996
SFC,Derby Stallion 98,30,30,Nintendo,25/08/1998
PS1,Derby Stallion 99,451.981,871.059,ASCII,30/09/1999
GBA,Derby Stallion Advance,45.184,124.261,Enterbrain,6/12/2002
NDS,Derby Stallion DS,147.158,302.041,Enterbrain,26/06/2008
3DS,Derby Stallion Gold,70.402,124.816,Kadokawa Games,4/12/2014
SFC,Derby Stallion III,515.427,1.086.141,ASCII,20/01/1995
PSP,Derby Stallion P,37.733,123.227,Enterbrain,27/07/2006
PSP,Derby Time,21.902,70.668,SCE,21/04/2005
PSP,Derby Time 2006,,34.446,SCE,2/3/2006
PS3,Derby Time Online,2.2,2.2,SCE,13/11/2008
DC,Derby Tsuku 2: Derby Uma o Tsukurou!,9.894,13.046,SEGA,9/8/2001
PS2,Derby Tsuku 3: Derby Uma o Tsukurou!,30.25,78.066,SEGA,11/12/2003
PS2,Derby Tsuku 4: Derby Uma o Tsukurou!,15.652,27.851,SEGA,2/12/2004
PS2,Derby Tsuku 5: Derby Uma o Tsukurou!,16.217,36.278,SEGA,19/01/2006
DC,Derby Tsuku: Derby Uma o Tsukurou!,47.153,79.977,SEGA,27/07/2000
PS1,Descent,7.041,7.041,Soft Bank,26/01/1996
PS2,Desert Kingdom,1.9,1.9,Idea Factory,27/05/2010
PSP,Desert Kingdom Portable,3.08,4.757,Idea Factory,21/02/2013
SAT,Desire,86.48,102.187,Imagineer,11/9/1997
PS3,Destiny,48.769,117.14,SCE,11/9/2014
PS4,Destiny,88.609,141.736,SCE,11/9/2014
PS4,Destiny 2,51.629,112.435,SIE,7/9/2017
NDS,Destiny Links,8.657,22.494,Bandai Namco,5/2/2009
PS4,Destiny: The Taken King - Legendary Edition,6.773,9.036,SCE,17/09/2015
PS1,DeSTReGA,14.219,14.219,Koei,23/09/1998
PS2,Destroy All Humans!,4.332,4.332,SEGA,22/02/2007
PS1,Destruction Derby,31.8,95.76,SCE,9/2/1996
SAT,Destruction Derby,5.026,5.026,Soft Bank,20/09/1996
PS1,Destruction Derby 2,16.258,48.399,SCE,21/02/1997
NDS,Detailed Japanese History B: New Total Training Plus,658,8.716,Bandai Namco,4/2/2010
NDS,Detailed Japanese History B: Total Training,7.274,122.544,Bandai Namco,7/6/2007
NDS,Detailed World History B: New Total Training Plus,,5.804,Bandai Namco,4/2/2010
NDS,Detailed World History B: Total Training,6.009,79.184,Bandai Namco,7/6/2007
SAT,Detana!! TwinBee Yahoo! Deluxe Pack,55.137,86.75,Konami,29/09/1995
PS1,Detana!! TwinBee Yahoo! Deluxe Pack,60.119,69.799,Konami,29/09/1995
PS1,Detective Conan,29.025,61.734,Bandai,19/11/1998
NDS,Detective Conan & Kindaichi Shounen no Jikenbo: Meguri au Futari no Meitantei,24.47,73.929,Bandai Namco,5/2/2009
PS1,Detective Conan: 3-Jin no Meitantei,23.237,55.015,Bandai,10/8/2000
NDS,Detective Conan: Aoki Houseki no Rinbukyoku,16.57,62.594,Bandai Namco,21/04/2011
GBA,Detective Conan: Atasuki no Monument,6.765,27.944,Banpresto,21/04/2005
GB,Detective Conan: Cursed Route,7.801,7.801,Banpresto,1/6/2001
WII,Detective Conan: Fantastic Memories,3.128,3.128,Marvelous Interactive,17/05/2007
GB,Detective Conan: Giwaku no Gouka Ressha,,35.102,Bandai,7/8/1998
GB,Detective Conan: Karakuri Jiin Satsujin Jiken,10.814,50.495,Banpresto,24/02/2000
NDS,Detective Conan: Kieta Hakase to Machigai Sagashi no Tou,6.628,27.738,Bandai Namco,3/4/2008
GB,Detective Conan: Kiganshima Hihou Densetsu,8.672,35.568,Banpresto,31/03/2000
WS,Detective Conan: Majutsushi no Chousenjou!,,40.702,Bandai,5/8/1999
3DS,Detective Conan: Marionette Symphony,12.041,44.4,Bandai Namco,25/04/2013
WS,"Detective Conan: Nishi no Meitantei, Saidai no Kiki!?",9.299,9.299,Bandai,27/07/2000
3DS,Detective Conan: Phantom Rapsody,8.013,8.013,Bandai Namco,17/04/2014
NDS,Detective Conan: Prelude from the Past,8.257,29.265,Bandai Namco,19/04/2012
PSP,Detective Conan: Prelude from the Past,5.07,14.993,Bandai Namco,19/04/2012
PS1,Detective Conan: Saikou no Aibou,24.005,52.432,Bandai,25/04/2002
NDS,Detective Conan: Tantei Ryoku Trainer,18.511,55.997,Bandai Namco,5/4/2007
GBA,Detective Conan: Targeted by Detective,9.036,37.697,Banpresto,25/07/2003
PS2,Detective Conan: The British Legacy,8.6,18.299,Bandai,18/11/2004
WS,Detective Conan: The Twilight Princess,7.408,16.806,Bandai,5/4/2001
PS1,Detective Conan: Trick Trick Vol.1,10.378,10.378,Bandai,17/04/2003
PS2,Detective Evangelion,7.106,7.106,Broccoli,18/01/2007
GBA,Detective Gakuen Q: You Are the Detective!,6.366,6.366,Konami,18/09/2003
NDS,Detective J.B. Harold's Casebook: Murder Club,3.5,3.5,Fonfun,21/02/2008
NDS,Detective Jinguuji Saburo DS: Ancient Memory,17.664,56.016,Arc System Works,19/07/2007
NDS,Detective Jinguuji Saburo DS: Inextinguishable Heart,9.431,26.362,Arc System Works,24/04/2008
NDS,Detective Jinguuji Saburo DS: The Truth was Withheld,5.4,15.269,Arc System Works,19/03/2009
NDS,Detective Jinguuji Saburo: Akai Chou,5.243,10.039,Arc System Works,30/09/2010
PSP,Detective Jinguuji Saburo: Ashes and Diamonds,4.8,8.763,Arc System Works,17/09/2009
PS2,Detective Jinguuji Saburo: Innocent Black,19.001,38.116,WorkJam,24/10/2002
PS2,Detective Jinguuji Saburo: Kind of Blue,15.532,30.333,WorkJam,22/04/2004
SAT,Detective Jinguuji Saburo: Mikan no Rupo,16.23,16.23,Data East,29/11/1996
PS1,Detective Jinguuji Saburo: Mikan no Rupo,13.88,13.88,Data East,29/11/1996
3DS,Detective Jinguuji Saburo: Rondo Revenge,4.994,10.392,Arc System Works,28/06/2012
FC,Detective Jinguuji Saburo: Shinjuku Chuuou Kouen Satsujin Jiken [Famicom Disk System],,300,Data East,24/04/1987
GBA,Detective Jinguuji Saburo: Shiroiei no Shoujo,7.232,7.232,Marvelous Interactive,27/01/2005
PS1,Detective Jinguuji Saburo: Touka ga Kienu Aidani,17.141,17.141,Data East,25/11/1999
PS1,Detective Jinguuji Saburo: Yume no Owarini,,35.758,Data East,23/04/1998
SAT,Detective Jinguuji Saburo: Yume no Owarini,4.685,4.685,Data East,9/7/1998
NDS,Detective Kibukawa Ryosuke Jiken Dan: The Masquerade Lullaby,5.149,15.974,Genki,24/03/2005
PS2,Detective Neuro: Criminal Set!,1.7,1.7,Compile Heart,28/08/2008
NDS,Detective Neuro: Gourmet Food & Mystery,4.602,4.602,Marvelous Entertainment,12/6/2008
PSP,Detective Opera: Milky Holmes,12.1,19.722,Bushiroad,16/12/2010
PSP,Detective Opera: Milky Holmes 2,10.502,17.454,Bushiroad,23/08/2012
3DS,Detective Pikachu,34.037,106.977,Pokémon Co.,22/03/2018
3DS,Detective Pikachu: New Combi Birth [Nintendo eShop],,27.22,Pokémon Co.,3/2/2016
DC,Detective Shinshi Dash!,28.163,32.927,Abel,21/12/2000
PS4,Detroit: Become Human,30.22,116.707,SIE,25/05/2018
PS3,Deus Ex: Human Revolution,9.629,18.731,Square Enix,20/10/2011
360,Deus Ex: Human Revolution,2.806,4.992,Square Enix,20/10/2011
PS4,Deus Ex: Mankind Divided,4.042,4.042,Square Enix,23/03/2017
PS1,DeviceReign,19.305,19.305,Media Works,25/02/1999
SAT,DeviceReign,10.415,10.415,Media Works,25/02/1999
PS1,Devil Man,9.385,13.846,Bandai,13/04/2000
PS2,Devil May Cry,352.668,569.763,Capcom,23/08/2001
PS2,Devil May Cry [All Versions],352.668,646.865,Capcom,23/08/2001
PS2,Devil May Cry [Mega Hits!],,77.102,Capcom,25/07/2002
PS2,Devil May Cry 2,309.279,456.824,Capcom,30/01/2003
PS2,Devil May Cry 3: Dante's Awakening,183.208,281.025,Capcom,17/02/2005
PS2,Devil May Cry 3: Dante's Awakening [All Versions],183.208,539.813,Capcom,17/02/2005
PS2,Devil May Cry 3: Special Edition,29.449,72.536,Capcom,23/02/2006
PS2,Devil May Cry 3: Special Edition [All Versions],29.449,258.788,Capcom,23/02/2006
PS2,Devil May Cry 3: Special Edition [PlayStation 2 the Best],2.117,76.609,Capcom,28/06/2007
PS2,Devil May Cry 3: Special Edition [PlayStation 2 the Best],,16.517,Capcom,16/04/2009
PS3,Devil May Cry 4,212.373,310.102,Capcom,31/01/2008
360,Devil May Cry 4,40.169,55.259,Capcom,31/01/2008
PS3,Devil May Cry 4 [All Versions],212.373,417.643,Capcom,31/01/2008
360,Devil May Cry 4 [All Versions],40.169,61.619,Capcom,31/01/2008
360,Devil May Cry 4 [Platinum Collection],,6.36,Capcom,23/07/2009
PS3,Devil May Cry 4 [PlayStation 3 the Best],,45.347,Capcom,23/07/2009
PS3,Devil May Cry 4 [PlayStation 3 the Best] [Reprint],,62.194,Capcom,22/09/2010
PS4,Devil May Cry 4: Special Edition,30.757,59.649,Capcom,18/06/2015
PS3,Devil May Cry HD Collection,38.937,90.737,Capcom,22/03/2012
PS4,Devil May Cry HD Collection,6.264,11.567,Capcom,15/03/2018
360,Devil May Cry HD Collection,2.486,5.67,Capcom,22/03/2012
PS3,Devil May Cry HD Collection [All Versions],38.937,106.093,Capcom,22/03/2012
PS3,Devil May Cry HD Collection [Best Price!],549,15.356,Capcom,6/12/2012
PS4,Devil May Cry V,122.838,231.35,Capcom,8/3/2019
PS2,Devil Summoner: Raidou Kuzunoha Vs. King Abaddon,76.576,162.041,Atlus,23/10/2008
PS2,Devil Summoner: Raidou Kuzunoha Vs. The Soulless Army,56.215,91.008,Atlus,2/3/2006
SAT,Devil Summoner: Soul Hackers,160.85,258.678,Atlus,13/11/1997
PS1,Devil Summoner: Soul Hackers,60.905,137.414,Atlus,8/4/1999
3DS,Devil Summoner: Soul Hackers,73.69,104.727,Atlus,30/08/2012
NDS,Devil Survivor 2,62.246,99.748,Atlus,28/07/2011
3DS,Devil Survivor 2: Break Record,52.368,76.504,Atlus,29/01/2015
3DS,Devil Survivor: Over Clock,18.564,54.974,Atlus,1/9/2011
PS1,Dewprism,56.319,111.293,Square,14/10/1999
WII,Dewy's Adventure,1.162,1.162,Konami,26/07/2007
SAT,Dezaemon 2,10.621,10.621,Athena,9/10/1997
PS1,Dezaemon+,19.308,31.784,Athena,24/05/1996
PS1,Diablo,29.405,49.323,Electronic Arts,9/7/1998
PS3,Diablo III,38.431,87.561,Square Enix,30/01/2014
PS3,Diablo III [All Versions],38.431,132.182,Square Enix,30/01/2014
SWI,Diablo III: Eternal Collection,9.151,12.689,Square Enix,27/12/2018
PS3,Diablo III: Ultimate Evil Edition,16.363,44.621,Square Enix,21/08/2014
PS4,Diablo III: Ultimate Evil Edition,18.344,34.217,Square Enix,21/08/2014
PSP,Diabolik Lovers,20.516,41.758,Idea Factory,11/10/2012
PSP,Diabolik Lovers Twin Pack,1.302,1.946,Idea Factory,24/10/2013
SWI,Diabolik Lovers: Chaos Lineage,3.161,3.161,Idea Factory,28/03/2019
PSV,Diabolik Lovers: Dark Fate,13.842,20.468,Idea Factory,26/02/2015
PSV,Diabolik Lovers: Limited V Edition,3.43,4.047,Idea Factory,19/12/2013
PSV,Diabolik Lovers: Lost Eden,6.988,6.988,Idea Factory,16/02/2017
PSV,Diabolik Lovers: Lunatic Parade,9.227,9.227,Bandai Namco,25/02/2016
PSP,"Diabolik Lovers: More, Blood",20.662,32.124,Idea Factory,24/10/2013
PSV,"Diabolik Lovers: More, Blood - Limited V Edition",6.627,10.768,Idea Factory,15/01/2015
PSV,Diabolik Lovers: Vandead Carnival,9.032,9.032,Idea Factory,4/12/2014
N64,Diddy Kong Racing,65.148,653.426,Nintendo,21/11/1997
SAT,Die Hard Arcade,45.597,95.335,SEGA,24/01/1997
PSP,Dies Irae: Amantes Amentes,11.124,14.873,Views,28/06/2012
NDS,Dig Dug: Digging Strike,1.441,1.441,Namco,8/9/2005
PS1,Digical League,33.451,72.914,Square,20/06/1997
GBA,DigiCharat: Digi Communication,7.236,9.823,Broccoli,25/10/2002
DC,DigiCharat: Fantasy,13.724,13.724,Broccoli,6/9/2001
PSP,Digimon Adventure,45.438,85.152,Bandai Namco,17/01/2013
WS,Digimon Adventure 02: D1 Tamers,14.459,14.459,Bandai,9/12/2000
WS,Digimon Adventure 02: Digital Partners,27.765,67.644,Bandai,25/05/2000
WS,Digimon Adventure 02: Tag Tamers,,61.815,Bandai,3/8/2000
WS,Digimon Adventure: Anode Tamer / Cathode Tamer,36.15,212.462,Bandai,16/12/1999
NDS,Digimon Championship,17.812,46.86,Bandai Namco,14/02/2008
PS2,Digimon Savers: Another Mission,8.145,19.543,Bandai Namco,30/11/2006
NDS,Digimon Story,44.932,217.986,Bandai Namco,15/06/2006
PSV,Digimon Story: Cyber Sleuth,53.495,133.889,Bandai Namco,12/3/2015
PSV,Digimon Story: Cyber Sleuth - Hacker's Memory,22.971,34.558,Bandai Namco,14/12/2017
PS4,Digimon Story: Cyber Sleuth - Hacker's Memory,18.815,28.8,Bandai Namco,14/12/2017
NDS,Digimon Story: Lost Evolution,36.105,80.279,Bandai Namco,1/7/2010
NDS,Digimon Story: Super Xros Wars - Blue / Red,28.499,77.871,Bandai Namco,3/3/2011
WS,Digimon Tamers: Battle Spirit,14.025,43.624,Bandai,6/10/2001
WS,Digimon Tamers: Brave Tamers,,26.364,Bandai,29/12/2001
WS,Digimon Tamers: Digimon Medley,8.97,23.93,Bandai,12/7/2001
PS1,Digimon Tamers: Pocket Culumon,3.821,3.821,Bandai,17/05/2001
3DS,Digimon Universe: Appli Monsters,8.754,8.754,Bandai Namco,1/12/2016
PS1,Digimon World,29.291,246.862,Bandai,28/01/1999
PS1,Digimon World 2,62.797,147.465,Bandai,27/07/2000
PS1,Digimon World 3,35.469,83.635,Bandai,4/7/2002
PS2,Digimon World 4,17.302,37.59,Bandai,6/1/2005
NGC,Digimon World 4,7.153,15.673,Bandai,6/1/2005
PSP,Digimon World Re:Digitize,73.468,156.622,Bandai Namco,19/07/2012
3DS,Digimon World Re:Digitize Decode,37.125,75.987,Bandai Namco,27/06/2013
PS2,Digimon World: Battle Arena 2,10.311,20.748,Bandai,29/07/2004
PS1,Digimon World: Digital Card Arena,20.255,20.255,Bandai,21/12/2000
PS1,Digimon World: Digital Card Battle,48.089,118.727,Bandai,22/12/1999
NDS,Digimon World: Dusk / Dawn,72.308,185.11,Bandai Namco,29/03/2007
PSV,Digimon World: Next Order,52.521,83.711,Bandai Namco,17/03/2016
PS4,Digimon World: Next Order,6.075,8.07,Bandai Namco,16/02/2017
PS1,Digimon: Rumble Arena,17.674,103.61,Bandai,6/12/2001
SAT,Digital Dance Mix Vol.1: Namie Amuro,49.186,116.403,SEGA,10/1/1997
PS2,Digital Devil Saga: Avatar Tuner,93.499,153.421,Atlus,15/07/2004
PS2,Digital Devil Saga: Avatar Tuner 2,55.224,90.812,Atlus,27/01/2005
WS,Digital Monsters for WonderSwan,15.851,103.206,Bandai,25/03/1999
WS,Digital Monsters: Card Game for WonderSwan Color,6.103,10.938,Bandai,16/03/2002
WS,Digital Monsters: D Project,5.351,16.998,Bandai,3/8/2002
PS1,Digital Novel L no Kisetsu: A Piece of Memories,,27.352,Tonkin House,5/8/1999
SAT,Digital Pinball: Last Gladiators,26.2,51.987,Kaze,23/06/1995
SAT,Digital Pinball: Necronomicon,9.102,9.102,KAZe,15/11/1996
3DS,Dillon's Rolling Western: The Last Ranger,537,1.907,Nintendo,10/4/2013
GB,Dino Breeder,4.735,4.735,J-Wing,22/08/1997
PS1,Dino Crisis,319.934,677.05,Capcom,1/7/1999
DC,Dino Crisis,4.483,4.483,Capcom,6/9/2000
PS1,Dino Crisis 2,152.719,272.252,Capcom,13/09/2000
XBX,Dino Crisis 3,15.983,25.311,Capcom,26/06/2003
NDS,Dino King Battle: Taiko Kara no Hyouryuusha,3.093,3.093,Taito,24/08/2006
XBX,Dinosaur Hunting,805,2.035,Microsoft,18/09/2003
SAT,Dinosaur Island,10.678,10.678,Game Arts,14/02/1997
NDS,Dinosaur King: Dinosaur Grand Prix Finals KR-GP,1.583,1.583,MTO,25/08/2005
NDS,Dinosaur King: The 7 Fragments,53.358,192.171,SEGA,22/11/2007
PS2,Dirge of Cerberus: Final Fantasy VII,365.495,513.157,Square Enix,26/01/2006
PS2,Dirge of Cerberus: Final Fantasy VII - International [Ultimate Hits],1.7,1.7,Square Enix,4/9/2008
PS2,Dirge of Cerberus: Final Fantasy VII [All Versions],365.495,514.857,Square Enix,26/01/2006
PS3,DiRT 2,1.8,4.425,Codemasters,5/11/2009
PS3,DiRT 3,,6.732,Codemasters,25/08/2011
360,DiRT 3,1.174,1.729,Codemasters,25/08/2011
PS4,Dirt 4,2.431,2.431,Ubisoft,27/07/2017
PS1,Dirt Jockey,24.885,84.106,FAB Communications,24/02/2000
PS4,Dirt Rally 2.0,1.818,1.818,Ubisoft,18/04/2019
PS3,DiRT Showdown,840,3.25,Codemasters,30/08/2012
PS2,Disaster Report,55.789,149.11,Irem,25/04/2002
PS2,Disaster Report 2: Itetsuita Kiokutachi,28.557,59.749,Irem,30/03/2006
PSP,Disaster Report 3: Koware Yuku Machi to Kanojo no Uta,31.827,59.09,Irem,23/04/2009
PSP,Disaster Report 3: Koware Yuku Machi to Kanojo no Uta [All Versions],31.827,62.883,Irem,23/04/2009
PSP,Disaster Report 3: Koware Yuku Machi to Kanojo no Uta [PSP the Best],,3.793,Irem,3/2/2011
PS4,Disaster Report 4 Plus: Summer Memories,38.976,60.255,Grazzella,22/11/2018
WII,Disaster: Day of Crisis,12.768,27.896,Nintendo,25/09/2008
PS4,Disgaea 1 Complete,4.305,4.305,Nippon Ichi Software,27/07/2018
SWI,Disgaea 1 Complete,2.943,2.943,Nippon Ichi Software,27/07/2018
PSP,Disgaea 2 Portable,35.319,108.073,Nippon Ichi Software,26/03/2009
PSP,Disgaea 2 Portable [All Versions],35.319,138.391,Nippon Ichi Software,26/03/2009
PSP,Disgaea 2 Portable [PSP the Best],2.779,30.318,Nippon Ichi Software,12/5/2011
PS2,Disgaea 2: Cursed Memories,97.456,150.428,Nippon Ichi Software,23/02/2006
PS2,Disgaea 2: Cursed Memories [All Versions],97.456,151.806,Nippon Ichi Software,23/02/2006
PS2,Disgaea 2: Cursed Memories [PlayStation 2 the Best],1.378,1.378,Nippon Ichi Software,12/7/2007
PSV,Disgaea 3: Absence of Detention,21.848,61.803,Nippon Ichi Software,17/12/2011
PSV,Disgaea 3: Absence of Detention [All Versions],21.848,74.188,Nippon Ichi Software,17/12/2011
PSV,Disgaea 3: Absence of Detention [PlayStation Vita the Best],1.2,12.385,Nippon Ichi Software,25/04/2013
PS3,Disgaea 3: Absence of Justice,56.441,93.227,Nippon Ichi Software,31/01/2008
PS3,Disgaea 3: Absence of Justice [All Versions],56.441,110.772,Nippon Ichi Software,31/01/2008
PS3,Disgaea 3: Absence of Justice [PlayStation 3 the Best],1.1,17.545,Nippon Ichi Software,15/01/2009
PS3,Disgaea 3: Append Disc - Raspberyl-hen Hajime Mashita,4.6,17.432,Nippon Ichi Software,17/09/2009
PSV,Disgaea 4: A Promise Revisited,29.904,54.566,Nippon Ichi Software,30/01/2014
PS3,Disgaea 4: A Promise Unforgotten,77.449,129.031,Nippon Ichi Software,24/02/2011
PS3,Disgaea 4: Fuuka & Desco-hen Hajime Mashita,18.61,41.686,Nippon Ichi Software,27/10/2011
SWI,Disgaea 5 Complete,5.065,5.065,Nippon Ichi Software,3/3/2017
PS4,Disgaea 5: Alliance of Vengeance,22.872,38.4,Nippon Ichi Software,26/03/2015
PS3,Disgaea D2: A Brighter Darkness,53.814,79.279,Nippon Ichi Software,20/03/2013
PSP,Disgaea Portable,21.712,107.169,Nippon Ichi Software,30/11/2006
