NGC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.719,162.928,184.265,198.567,207.105,217.205,242.429,262.32,280.393,299.412,428.789,473.251,526.057,626.939,795.207,925.926,
,,,,,,,,,38.916,6.359,,1.467,5.611,6.644,567,,,352.874,40.723,,28.108,72.457,106.061,7.223,,,3.453.669,1.665.360,,4.454.880,17.932.988,365.172,248.858,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,38.586,40.497,,2.118,13.239,6.136,421,,,391.46,81.22,,30.226,85.696,112.197,7.644,,,3.492.255,1.705.857,,4.456.998,17.946.227,371.308,249.279,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,48.794,19.747,,1.978,16.044,4.382,425,,,440.254,100.967,,32.204,101.74,116.579,8.069,,,3.541.049,1.725.604,,4.458.976,17.962.271,375.69,249.704,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,43.368,15.339,,1.69,15.162,3.391,641,,,483.622,116.306,,33.894,116.902,119.97,8.71,,,3.584.417,1.740.943,,4.460.666,17.977.433,379.081,250.345,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,57.84,15.667,611.504,2.46,14.131,4.268,470,,,541.462,131.973,611.504,36.354,131.033,124.238,9.18,,,3.642.257,1.756.610,611.504,4.463.126,17.991.564,383.349,250.815,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,52.806,14.991,323.686,2.219,14.996,3.505,814,,,594.268,146.964,935.19,38.573,146.029,127.743,9.994,,,3.695.063,1.771.601,935.19,4.465.345,18.006.560,386.854,251.629,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,43.295,8.954,197.421,1.341,14.844,3.667,561,,,637.563,155.918,1.132.611,39.914,160.873,131.41,10.555,,,3.738.358,1.780.555,1.132.611,4.466.686,18.021.404,390.521,252.19,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,21.997,7.19,139.499,1.109,13.788,3.241,286,,,659.56,163.108,1.272.110,41.023,174.661,134.651,10.841,,,3.760.355,1.787.745,1.272.110,4.467.795,18.035.192,393.762,252.476,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,36.051,5.056,95.324,1.518,9.624,2.892,525,,,695.611,168.164,1.367.434,42.541,184.285,137.543,11.366,,,3.796.406,1.792.801,1.367.434,4.469.313,18.044.816,396.654,253.001,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,55.346,6.558,141.09,2.077,16.304,18.849,373,,,750.957,174.722,1.508.524,44.618,200.589,156.392,11.739,,,3.851.752,1.799.359,1.508.524,4.471.390,18.061.120,415.503,253.374,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,55.346,6.559,141.091,2.077,16.308,18.85,374,,,806.303,181.281,1.649.615,46.695,216.897,175.242,12.113,,,3.907.098,1.805.918,1.649.615,4.473.467,18.077.428,434.353,253.748,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,40.928,3.908,88.872,894,9.372,3.582,276,,,847.231,185.189,1.738.487,47.589,226.269,178.824,12.389,,,3.948.026,1.809.826,1.738.487,4.474.361,18.086.800,437.935,254.024,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,24.529,2.392,70.875,1.336,11.804,3.276,278,,,871.76,187.581,1.809.362,48.925,238.073,182.1,12.667,,,3.972.555,1.812.218,1.809.362,4.475.697,18.098.604,441.211,254.302,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,21.989,4.874,71.334,1.251,8.944,2.532,186,,,893.749,192.455,1.880.696,50.176,247.017,184.632,12.853,,,3.994.544,1.817.092,1.880.696,4.476.948,18.107.548,443.743,254.488,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,24.638,5.473,58.187,1.573,8.628,3.217,418,,,918.387,197.928,1.938.883,51.749,255.645,187.849,13.271,,,4.019.182,1.822.565,1.938.883,4.478.521,18.116.176,446.96,254.906,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,33.919,5.354,51.363,993,7.588,3.57,156,,,952.306,203.282,1.990.246,52.742,263.233,191.419,13.427,,,4.053.101,1.827.919,1.990.246,4.479.514,18.123.764,450.53,255.062,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,43.275,4.279,52.998,978,10.116,2.752,235,,,995.581,207.561,2.043.244,53.72,273.349,194.171,13.662,,,4.096.376,1.832.198,2.043.244,4.480.492,18.133.880,453.282,255.297,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,75.693,5.697,93.821,936,7.472,3.01,219,,,1.071.274,213.258,2.137.065,54.656,280.821,197.181,13.881,,,4.172.069,1.837.895,2.137.065,4.481.428,18.141.352,456.292,255.516,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,77.869,6.43,91.094,1.37,11.21,4.211,247,,,1.149.143,219.688,2.228.159,56.026,292.031,201.392,14.128,,,4.249.938,1.844.325,2.228.159,4.482.798,18.152.562,460.503,255.763,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,79.867,2.904,94.38,776,9.901,1.424,435,,,1.229.010,222.592,2.322.539,56.802,301.932,202.816,14.563,,,4.329.805,1.847.229,2.322.539,4.483.574,18.162.463,461.927,256.198,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,88.286,5.951,73.315,552,6.528,3.264,172,,,1.317.296,228.543,2.395.854,57.354,308.46,206.08,14.735,,,4.418.091,1.853.180,2.395.854,4.484.126,18.168.991,465.191,256.37,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,156.471,3.368,95.618,1.393,6.637,2.328,156,,,1.473.767,231.911,2.491.472,58.747,315.097,208.408,14.891,,,4.574.562,1.856.548,2.491.472,4.485.519,18.175.628,467.519,256.526,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,103.263,5.077,85.209,1.266,7.762,2.435,77,,,1.577.030,236.988,2.576.681,60.013,322.859,210.843,14.968,,,4.677.825,1.861.625,2.576.681,4.486.785,18.183.390,469.954,256.603,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,75.283,4.118,85.225,989,8.808,1.655,,,,1.652.313,241.106,2.661.906,61.002,331.667,212.498,14.968,,,4.753.108,1.865.743,2.661.906,4.487.774,18.192.198,471.609,256.603,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,69.158,1.813,94.412,1.842,10.379,2.042,,,,1.721.471,242.919,2.756.318,62.844,342.046,214.54,14.968,,,4.822.266,1.867.556,2.756.318,4.489.616,18.202.577,473.651,256.603,,,,,,,,,,,,,,,,,,,,
